"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC1A2",20.0727216551515,-1.4208259143905,0.379710407239004,-3.74186718958215,0.000182658045280633,0.0248346444814681
"SOX6",231.189232219745,-1.52515056998179,0.424093453427704,-3.59626058279105,0.000322824424385249,0.034930823117506
"FZD10",157.835150509298,2.59079575796302,0.54492484395527,4.7544093221334,1.99027444060111e-06,0.00127342441708343
"HBEGF",1802.24738758373,1.08968574074877,0.307488317485694,3.54382810267084,0.000394362276775325,0.0383820866754803
"TNNC1",102.860776047831,1.74122471628556,0.419375972572139,4.15194200470329,3.29665814771961e-05,0.00941269756449477
"WNT6",16.9029709417543,1.78984314577131,0.468333587885425,3.82172705966411,0.000132520317504008,0.0206849176663892
"ELAPOR1",7209.57652476113,-1.32728705021023,0.387904037091433,-3.42168918932229,0.000622334111381843,0.0477104245611959
"RGS4",113.700310200648,1.62202370786745,0.413087987896835,3.92658163730614,8.61616566783839e-05,0.0157509300788367
"RARRES1",1325.07443592326,-1.64971237436785,0.405517535505004,-4.06816531944398,4.73847588881348e-05,0.0115821128635111
"CD244",60.8347472896028,-1.71843453762697,0.409348034372774,-4.19797920920776,2.69307348904478e-05,0.00802535899735345
"HOXC12",24.2429789462649,3.39858195538743,0.886303712212517,3.83455683255958,0.000125790885978003,0.0199741236026678
"ZNF831",44.1802310152757,-1.38535469734617,0.400514154136449,-3.45894067173018,0.000542304344390234,0.0436936618809821
"LYPD3",156.641225750187,1.21857890198894,0.307199802975917,3.96673074065894,7.28652314203459e-05,0.0146349787283715
"CEACAM8",36.545070938869,2.45577452286435,0.51046111100466,4.8108944441057,1.50256359239086e-06,0.00102146151215221
"GRM4",67.9816813564465,2.53130380686687,0.568065511344305,4.45600684483844,8.35003669974659e-06,0.00318678418186469
"H1-3",21.5977510009869,-2.1670367216122,0.600934471767191,-3.60611152034516,0.000310819601649243,0.0344978041544777
"GPR18",26.6276308499078,-1.30200634903878,0.353532870716334,-3.68284382269925,0.000230646475570094,0.0286713338831532
"AVPR2",19.5171748559223,1.27299491529106,0.337683243179555,3.76979000587889,0.000163384960175903,0.0231927054055434
"LRRC4",61.7842785528246,-1.50064875369373,0.425846440586917,-3.52391991729573,0.000425212742469826,0.0400553951160196
"LRRC17",77.8115729545288,1.10399098901241,0.314327904928312,3.51222710966179,0.000444368092153295,0.0402782644862616
"PDLIM4",356.832613945148,1.34211608395259,0.290083152882148,4.62665987534218,3.71610032413869e-06,0.00202100116128283
"REEP2",67.1452744006334,1.11438033127898,0.326962307118853,3.4082837899535,0.000653728681779704,0.0490386680808127
"VSTM2L",192.851314028663,2.00025936686761,0.514515640667622,3.88765512409327,0.000101217300747579,0.0174752473052606
"KANK4",68.0313839016401,1.49481617980429,0.406759915209794,3.67493482988192,0.00023791013459871,0.0292400964297194
"TMCC2",63.2893016307216,1.11092085800818,0.298658872867034,3.71969815376211,0.000199461009511236,0.0266200908031131
"CA1",279.008972593668,3.09405822267187,0.696569681180203,4.44185026461327,8.91886181592763e-06,0.0033451882748912
"PRH2",14.6626443449086,-1.68592903002867,0.494081261710856,-3.4122504953756,0.000644288778021818,0.0484977788134485
"PRPH",20.7926439143192,2.5631046621481,0.49598797427059,5.16767501453529,2.37023982361784e-07,0.000257810985614912
"WNT10A",160.350628991916,1.65793707087295,0.458598803457982,3.61522328094093,0.000300088867453597,0.034210829309992
"NACAD",58.4724664816713,1.06761940547795,0.306581655712332,3.48233296280357,0.000497065219492438,0.0417496400959015
"CLCA2",28.284202728034,-3.68618992679045,0.647679116137348,-5.69138302431964,1.26014472432571e-08,2.49210803027104e-05
"DUSP5",1131.7143740266,1.12579849858151,0.297266367718531,3.78717076950823,0.000152372382195645,0.0220980586818938
"CYP1A1",16.0398274440114,-3.47545398078265,0.864271700537107,-4.02125162564366,5.78897260616221e-05,0.0128503377626993
"ADCYAP1",63.1861807895584,1.80736993154157,0.514879633419576,3.51027660491814,0.000447640771761863,0.040406545016214
"SLC14A1",644.616844544576,4.23470652410009,0.56459111197908,7.50048386212817,6.35826852950532e-14,6.91588867954294e-10
"IGLON5",16.5701384666374,1.56469234099314,0.397014302279296,3.94114854807522,8.10923848106654e-05,0.0154744187646598
"HORMAD1",20.6579713746513,-3.26164669571084,0.591465151951233,-5.51452048349885,3.49732175477113e-08,5.4343383895208e-05
"ANKRD53",11.3303071302768,1.00051159763228,0.290718387207672,3.44151468107029,0.000578467079970152,0.0459269082396741
"MARCHF4",18.042174203508,1.19602682711139,0.340217395934659,3.51547816602857,0.000438962852859828,0.0402782644862616
"TRIM7",203.885087150431,-1.68578264197442,0.488179377293357,-3.4532033108834,0.000553971310679342,0.0443054848989648
"ANO7",643.199672033804,-2.27675568821374,0.451376542713785,-5.04402748650901,4.55833776027697e-07,0.000396648318548261
"PRSS35",18.1016769766575,1.37036021875794,0.383367287966698,3.57453612181169,0.000350849375468405,0.0365185517413382
"GABRR1",18.5722191521335,3.07359186747663,0.694325660711083,4.42672947493954,9.56725952907596e-06,0.00346876939659197
"IGFBP1",7.84720040218364,1.91991063485893,0.53381970576471,3.59655257032636,0.000322462438597451,0.034930823117506
"GPR174",57.6462310612491,-1.24648413718099,0.351463255822917,-3.54655605253093,0.000390301702381586,0.0382460506018425
"CDKN2A",218.487941762256,1.96736503262074,0.333110681332966,5.90604007277159,3.5042876753497e-09,7.62322740895574e-06
"SESN3",1995.92266482468,-1.25407047153284,0.352790156462185,-3.55472069886752,0.000378380802661288,0.0375858263976879
"DPYSL4",43.5017941798096,1.84780750510046,0.412688306181582,4.47748937254216,7.55259860782617e-06,0.00310140211095297
"ITIH2",17.3428601540681,-2.28442445401603,0.506775539363722,-4.50776384527995,6.55144359450549e-06,0.00292399732089783
"UCHL1",180.163632344416,1.91031949227109,0.411339800059776,4.64413969179126,3.41496453204452e-06,0.00190484970333581
"WIF1",265.398355240829,5.1645433357644,0.786256910782497,6.56851884535368,5.08182019816467e-11,2.76374791477185e-07
"CLDN8",34.9875958612875,3.64035429666525,1.02132869045669,3.56433176770689,0.000364784324799702,0.0369093869846173
"GALNT14",24.5913675719228,1.32233603483938,0.387045416588848,3.41648803516015,0.000634344512832876,0.0479150365700222
"ACTC1",48.6085652310485,1.81251424172467,0.489573840072884,3.70222853707796,0.000213713975527649,0.0271879170972426
"TPPP3",982.592599665849,1.36470918647507,0.361573450034418,3.77436226676811,0.000160417507004713,0.022958700311714
"ZNF233",78.3656717851377,-1.05572978773858,0.298862291245595,-3.53249579710614,0.000411656769553807,0.0394501381712489
"CILP2",67.6833397276029,1.68984873491172,0.41268646507934,4.09475201612644,4.22620489909345e-05,0.0106903327180092
"CBS",13.2028823230997,1.92509226945561,0.549089353868546,3.50597267255792,0.000454941926507815,0.0405606830707008
"AIRE",12.4768725187068,1.96690960561705,0.556326934465023,3.53552827261272,0.000406960694418996,0.0391726679043843
"PTH1R",22.2708572662907,1.4567004678953,0.416035321457177,3.50138652360852,0.000462844030941803,0.0406035224432175
"RBP7",38.9960619334991,1.30951788814155,0.304519858512967,4.3002709069162,1.70589441958028e-05,0.00568355359159813
"IL23R",52.1160471669744,-1.11926955028973,0.327263156106982,-3.42009031387525,0.000626003489716313,0.0477827365448725
"CADM3",36.3513783713383,2.20355902129185,0.500000618227969,4.40711259338317,1.04757739411402e-05,0.00373590141500924
"KLHDC8A",43.1829304259247,1.23409409935646,0.273196513364148,4.5172395656145,6.26510110905861e-06,0.00289980871332896
"LRRTM1",27.9326763875524,2.68048357227145,0.604615740959148,4.43336716311619,9.27726760360426e-06,0.00342063863472554
"RETNLB",891.576294420472,-2.88850946928016,0.647146279917954,-4.46345680863122,8.06478610412625e-06,0.0031328813733779
"SP8",28.8161009981619,1.71589910015631,0.504379132048883,3.40200256340108,0.000668940103717278,0.0493292305636124
"DEFA6",963.854426031507,-2.69666061653192,0.770718399118735,-3.49889222784272,0.000467195377928737,0.0406534730058469
"BMERB1",298.10752220609,1.13812708643792,0.242503050737375,4.69324853018235,2.68900480547713e-06,0.00162490584828749
"SCNN1G",22.7515396943482,2.80506015825472,0.594985025604124,4.71450547080001,2.42298494693222e-06,0.00150598898673039
"NYAP1",24.2683070785313,1.43315050172115,0.370378629797849,3.86942006482221,0.000109094540988112,0.0181163560660716
"PIP5KL1",27.274741168406,1.31663760483131,0.356124565432726,3.69712660296676,0.000218053610909478,0.0274192962527445
"IGF2",94.5572823880578,2.86732486004373,0.546338023264227,5.24826158522193,1.53541178782013e-07,0.000175796568590732
"H1-4",42.2816536538341,-1.98758630350669,0.540201367331659,-3.67934334065912,0.000233835279938105,0.0289025720441678
"GP2",151.57540333884,-3.19813988624062,0.85814221917702,-3.72681802010361,0.000193912359502634,0.0260393177075327
"NSG2",26.2731516133657,2.28764569426882,0.55621036533059,4.11291453173321,3.90695060164001e-05,0.0103847070368722
"ADRA1B",15.1299773483222,1.98332387807331,0.391563463866879,5.06514029293495,4.08099689544284e-07,0.000369908360264432
"CST2",40.3730999507056,1.58542806360587,0.427350247131651,3.70990323334822,0.000207338480584345,0.0268685968327923
"GPR82",33.6824634994478,-1.17056316756741,0.324091141782048,-3.61183326742887,0.000304040031825109,0.034210829309992
"GPR34",179.075400129605,-1.37393666260369,0.360515998047861,-3.81102827625777,0.000138389934607138,0.0209068457268976
"KNDC1",52.6841607266214,1.64691742726116,0.407166862561143,4.04482186222572,5.23629242040234e-05,0.0123523929978669
"GAP43",45.6159373207878,1.70957484413059,0.50287872081154,3.39957682315867,0.000674902175171677,0.0495346285340378
"CALB2",115.235792265479,2.28218386948404,0.507232503294609,4.49928554392839,6.81822236352416e-06,0.00296647218592209
"SLC9C1",32.4085686462942,-1.55590348226436,0.432219439219402,-3.59979987266274,0.000318462185168619,0.034930823117506
"C1QTNF4",8.95162815323657,1.99243821289866,0.442111565040215,4.50664124273118,6.58618501075634e-06,0.00292399732089783
"ADH6",324.741835592448,-1.24362200295479,0.33085349684609,-3.75882985916666,0.000170709870242527,0.0236536466067257
"SNCG",123.608889965168,2.4487324264794,0.384970630108066,6.36082920349539,2.006674802304e-10,7.27553394155354e-07
"HAP1",20.0349928750255,1.46206222815104,0.342846123842559,4.26448522084632,2.0036360507055e-05,0.00640986744809522
"CATSPER1",18.2317866677701,1.55263853858809,0.343394005352919,4.52144916447328,6.14177105068839e-06,0.00289980871332896
"CST6",23.7005230383114,2.17886600748039,0.541091060795351,4.02680096817285,5.65408535606401e-05,0.0126803064779192
"KLHL11",227.835771423631,-1.03999162498914,0.298918341275137,-3.47918304561945,0.000502944924203962,0.0419476570810571
"RIIAD1",31.2074634484444,1.61608421024018,0.452982344397004,3.56765386163441,0.000360191881360767,0.0367914491558334
"SLITRK4",6.96108432119857,1.48546069631817,0.427647965375675,3.4735596017936,0.000513603278215542,0.0423310759888373
"ANKRD30B",13.5022846558044,-2.57310572285876,0.715995983745136,-3.59374323498256,0.000325961068900143,0.034930823117506
"MUC16",45.5677180116826,2.89694288233118,0.698941945470972,4.14475465538003,3.40177730190943e-05,0.00941269756449477
